,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Paita,-5.09,-81.11,67.1,83,100,13.71,PE,1607129815
1,Rincon,32.3,-81.24,64.11,93,90,9.17,US,1607129731
2,Yellowknife,62.46,-114.35,17.6,92,75,5.82,CA,1607129198
3,Hobart,-42.88,147.33,65.88,37,75,10.29,AU,1607129224
4,Tautira,-17.73,-149.15,86.0,58,75,10.29,PF,1607129815
5,Bandarbeyla,9.49,50.81,74.5,84,83,10.09,SO,1607129815
6,George Town,5.41,100.34,77.58,83,20,4.27,MY,1607129253
7,Ushuaia,-54.8,-68.3,51.8,57,75,10.29,AR,1607129815
8,Bredasdorp,-34.53,20.04,62.6,67,100,14.99,ZA,1607129816
9,Chui,-33.7,-53.46,54.1,71,100,8.48,UY,1607129482
10,Nālūt,30.33,10.85,56.46,67,0,6.31,LY,1607129420
11,Punta,8.99,125.34,84.81,69,0,0.69,PH,1607129816
12,Bluff,-46.6,168.33,54.0,86,30,13.0,NZ,1607129816
13,Sørland,67.67,12.69,40.15,70,100,9.78,NO,1607129737
14,Chase,50.82,-119.69,30.97,90,2,2.24,CA,1607129816
15,Castro,-24.79,-50.01,63.28,97,100,5.19,BR,1607129372
16,Senador,18.82,-71.9,80.6,74,40,0.36,HT,1607129816
17,Butaritari,3.07,172.79,81.57,78,1,11.43,KI,1607129285
18,Hithadhoo,-0.6,73.08,82.9,77,0,20.89,MV,1607129278
19,Bogdanovich,56.78,62.05,10.38,94,0,3.13,RU,1607129817
20,Vágur,61.47,-6.81,43.05,79,100,18.66,FO,1607129817
21,Pisco,-13.7,-76.22,66.11,82,0,20.8,PE,1607129312
22,Babylon,40.7,-73.33,45.81,87,90,9.17,US,1607129817
23,New,6.65,-10.59,78.8,94,75,1.86,LR,1607129817
24,Klaksvík,62.23,-6.59,37.4,93,100,2.24,FO,1607129554
25,Bānda,25.48,80.33,59.54,45,0,1.59,IN,1607129817
26,Severo-Kuril'sk,50.68,156.12,29.95,89,72,11.56,RU,1607129230
27,Charcas,23.13,-101.12,48.25,87,10,6.76,MX,1607129817
28,Lüderitz,-26.65,15.16,59.7,79,0,17.16,NA,1607129367
29,Tarifa,36.01,-5.61,51.8,58,75,28.86,ES,1607129818
30,Busselton,-33.65,115.33,61.0,56,62,5.99,AU,1607129220
31,Saint-Pierre,-21.34,55.48,69.06,73,0,4.7,RE,1607129818
32,Jamestown,42.1,-79.24,37.78,74,90,5.82,US,1607129767
33,Muros,42.78,-9.06,41.0,94,99,3.0,ES,1607129818
34,San,13.3,-4.9,69.94,23,6,1.14,ML,1607129818
35,Grand,38.88,-109.5,32.59,19,1,8.05,US,1607129772
36,Asău,46.43,26.4,37.0,37,63,2.24,RO,1607129818
37,Tuatapere,-46.13,167.68,55.99,82,60,17.0,NZ,1607129259
38,Hilo,19.73,-155.09,78.19,65,75,5.82,US,1607129392
39,Grand,38.88,-109.5,32.59,19,1,8.05,US,1607129819
40,Cherskiy,68.75,161.3,-9.11,78,3,7.47,RU,1607129819
41,Mar,43.4,-4.01,43.61,81,40,12.75,ES,1607129819
42,Itacaré,-14.28,-39.0,80.6,88,75,6.93,BR,1607129819
43,Sidi,5.08,19.88,72.81,38,0,1.52,CF,1607129819
44,Lebu,-37.62,-73.65,55.4,77,0,17.9,CL,1607129254
45,Bambey,14.7,-16.45,73.4,73,6,2.24,SN,1607129819
46,Rikitea,-23.12,-134.97,78.06,69,0,10.11,PF,1607129819
47,Vytegra,61.01,36.45,28.85,96,100,11.14,RU,1607129819
48,Dikson,73.51,80.55,25.88,94,96,18.52,RU,1607129226
49,Bournemouth,50.72,-1.88,43.86,81,100,1.01,GB,1607129814
50,Oistins,13.07,-59.53,77.0,83,20,8.05,BB,1607129820
51,Mossamedes,-15.2,12.15,65.14,78,100,6.69,AO,1607129374
52,Avarua,-21.21,-159.78,84.2,70,0,16.11,CK,1607129820
53,Labuhan,-6.88,112.21,81.59,77,100,4.12,ID,1607129820
54,Port,-7.03,29.76,72.05,75,100,4.99,CD,1607129820
55,Pelym,61.01,62.0,14.09,92,98,5.19,RU,1607129820
56,Kapaa,22.08,-159.32,82.4,65,40,19.46,US,1607129820
57,Hermanus,-34.42,19.23,61.0,75,94,5.99,ZA,1607129820
58,Marabá,-5.37,-49.12,78.94,77,100,2.8,BR,1607129820
59,Sola,-13.88,167.55,84.2,83,75,1.88,VU,1607129385
60,East,65.0,-15.0,24.8,73,90,11.41,IS,1607129821
61,Madang,-5.22,145.8,86.59,61,87,2.35,PG,1607129724
62,Vaini,-21.2,-175.2,82.4,74,75,9.17,TO,1607129311
63,Port,-7.03,29.76,72.05,75,100,4.99,CD,1607129820
64,Aswān,24.09,32.91,56.46,42,15,3.18,EG,1607129821
65,Qaanaaq,77.48,-69.36,-12.87,75,0,6.71,GL,1607129821
66,Senanga,-16.12,23.27,69.4,89,93,3.87,ZM,1607129821
67,Mataura,-46.19,168.86,54.0,86,78,13.0,NZ,1607129822
68,Bridlington,54.08,-0.19,39.42,93,100,5.82,GB,1607129822
69,Mount Abu,24.6,72.7,54.14,49,0,2.37,IN,1607129822
70,Mount,53.66,-1.85,34.74,98,100,5.01,GB,1607129822
71,Cidreira,-30.18,-50.21,68.11,75,100,9.71,BR,1607129444
72,Mahajanga,-15.72,46.32,78.8,94,20,2.24,MG,1607129822
73,Itapeva,-23.98,-48.88,67.3,95,100,9.35,BR,1607129822
74,Praia,14.92,-23.51,75.2,73,75,16.11,CV,1607129822
75,Khatanga,71.97,102.5,16.34,97,100,13.76,RU,1607129822
76,Palekastro,35.2,26.25,57.99,73,20,8.63,GR,1607129823
77,Cape,-36.41,-71.9,80.6,24,0,5.82,CL,1607129823
78,Navalcarnero,40.29,-4.01,37.11,69,0,9.17,ES,1607129823
79,Saint-Philippe,-21.36,55.77,70.12,73,0,4.7,RE,1607129823
80,Albany,42.6,-73.97,43.02,56,22,3.6,US,1607129823
81,Lagoa,39.05,-27.98,61.12,81,95,16.42,PT,1607129823
82,Tuktoyaktuk,69.45,-133.04,3.2,77,20,11.41,CA,1607129823
83,Onega,63.91,38.14,24.21,95,100,9.98,RU,1607129824
84,Sangar,63.92,127.47,-11.2,90,98,5.08,RU,1607129824
85,Araouane,18.9,-3.53,73.94,25,63,7.45,ML,1607129824
86,Kruisfontein,-34.0,24.73,55.99,90,2,5.73,ZA,1607129665
87,Port,-7.03,29.76,72.05,75,100,4.99,CD,1607129820
88,Margate,51.38,1.39,42.01,83,92,7.0,GB,1607129104
89,Coquimbo,-29.95,-71.34,57.2,82,0,9.17,CL,1607129434
90,Provideniya,64.38,-173.3,16.23,88,0,3.65,RU,1607129474
91,Awjilah,29.11,21.29,53.74,76,0,4.72,LY,1607129626
